week,topic_id,top_10_words
2024-week_14,0,league liverpool arsenal man premier city utd title united fc
2024-week_14,1,miami england win six nation open sinner mar team woman
2024-week_14,2,win england tour city man open mar woman star team
2024-week_14,3,tour pga open scheffler cup liv ryder win lpga player
2024-week_14,4,england paul test star andy red team v new win
2024-week_15,0,league premier liverpool utd man top draw old get play
2024-week_15,1,master mcilroy tour rory liv cup pga open england ryder
2024-week_15,2,miami open murray djokovic andy carlo monte mar win nadal
2024-week_15,3,man liverpool league arsenal utd premier city star fc v
2024-week_15,4,england six cup team nation get win woman county india
2024-week_16,0,league premier title european liverpool england win city arsenal apr
2024-week_16,1,liverpool man league arsenal fc utd england hag ten premier
2024-week_16,2,woman england six league title arsenal premier city liverpool county
2024-week_16,3,master wood tiger scheffler paul mcilroy national grand v fight
2024-week_16,4,open djokovic win master monte carlo scheffler raducanu shot andy
2024-week_17,0,league man premier city utd cup fa arsenal fc win
2024-week_17,1,england county india test ball ipl get team win new
2024-week_17,2,win six england woman nation tour scheffler apr master korda
2024-week_17,3,win league man woman cup city premier united get fc
2024-week_17,4,master hamilton grand star open chinese raducanu paul win wood
2024-week_18,0,tour liv open apr win mcilroy pga master rory classic
2024-week_18,1,england grand star red win chinese master cup team six
2024-week_18,2,city woman league premier arsenal man united wsl title get
2024-week_18,3,madrid get nadal win back ipl open league man city
2024-week_18,4,league premier man liverpool arsenal city fc utd klopp england
2024-week_19,0,open madrid apr tour nadal win master pga wimbledon shot
2024-week_19,1,man fc utd league united liverpool arsenal manchester premier klopp
2024-week_19,2,england cup woman team final county harlequin vunipola new schedule
2024-week_19,3,star championship grand red tyson liv make v verstappen paul
2024-week_19,4,league premier city chelsea win title man woman liverpool play
2024-week_20,0,open djokovic italian nadal win bottle defeat wimbledon rome raducanu
2024-week_20,1,mcilroy championship rory pga tour star win year liv red
2024-week_20,2,england anderson test retirement pakistan county jimmy stokes ben worcestershire
2024-week_20,3,vunipola billy england star louis zammit rees chief smith marcus
2024-week_20,4,man league utd arsenal premier united fc city title manchester
2024-week_21,0,fc open klopp utd final liverpool ten man jurgen italian
2024-week_21,1,league premier city man title win arsenal season klopp liverpool
2024-week_21,2,pga tyson fury usyk mcilroy championship scheffler rory v star
2024-week_21,3,england cup play win pakistan run series premiership final woman
2024-week_21,4,england billy vunipola star team ben chief stokes louis rees
2024-week_22,0,tyson fury v fight mcilroy rory verstappen pga monaco star
2024-week_22,1,pga tour scheffler open murray win major scottie grayson championship
2024-week_22,2,england anderson stokes ben jimmy flintoff worcestershire freddie star josh
2024-week_22,3,cup league england premier final woman man win southampton season
2024-week_22,4,man utd open chelsea hag ten fc city french star
2024-week_23,0,england premiership final new vunipola play wale star player bath
2024-week_23,1,open french win djokovic tour woman pga murray get wimbledon
2024-week_23,2,man league transfer utd england woman chelsea madrid united euro
2024-week_23,3,cup england men win league min madrid audio available woman
2024-week_23,4,tyson fury usyk v pga fight scheffler mcilroy scottie rory
