week,phrase,score
2024-week_14,breaker ap mccoy inspires ryan reynolds,36.00
2024-week_14,see dallas cowboys tony finau involved,33.33
2024-week_14,sport presenter hilariously destroys creepy fan,32.86
2024-week_14,guardiola launches extraordinary rant accusing fa,32.65
2024-week_14,public snub kylian mbappe emery picks,32.30
2024-week_14,alonso snubs becoming boss fernando torres,32.03
2024-week_14,huge debts phil vickery phil mickelson,31.69
2024-week_14,india 2024 emerging spin options pose,31.63
2024-week_14,£ 300 season ticket price hike,31.20
2024-week_14,masters menu leaves dustin johnson baffled,31.03
2024-week_15,rajasthan royals overhauled royal challengers bengaluru,33.67
2024-week_15,beautiful golf courses comes beautiful wildlife,33.04
2024-week_15,spanish fa chief luis rubiales detained,32.25
2024-week_15,plans mikel arteta emotional grealish inspired,32.00
2024-week_15,breaker ap mccoy inspires ryan reynolds,32.00
2024-week_15,var usage wolverhampton wanderers fc ex,31.97
2024-week_15,huge debts phil vickery phil mickelson,31.90
2024-week_15,liverpool fernando torres opinion havertz proves,31.68
2024-week_15,india 2024 emerging spin options pose,31.49
2024-week_15,cricket commentator alison mitchell flies back,31.24
2024-week_16,sam burgess hails matty ashton acrobatics,36.00
2024-week_16,delayed bernhard langer jake paul challenged,34.67
2024-week_16,ferguson jude bellingham van persie lined,32.83
2024-week_16,saints crush bulls carreras boots gloucester,32.67
2024-week_16,huge debts phil vickery phil mickelson,32.56
2024-week_16,frank admission tiger woods ayrton senna,32.35
2024-week_16,india 2024 emerging spin options pose,31.64
2024-week_16,beautiful golf courses comes beautiful wildlife,31.59
2024-week_16,cricket commentator alison mitchell flies back,31.30
2024-week_16,finals fin smith inspires northampton saints,31.11
2024-week_17,sam burgess hails matty ashton acrobatics,36.00
2024-week_17,saints crush bulls carreras boots gloucester,34.17
2024-week_17,mikel arteta foden explains personal reason,33.75
2024-week_17,david busst francis left estranged sons,33.64
2024-week_17,delayed bernhard langer jake paul challenged,32.77
2024-week_17,touching announcement logan paul mike tyson,32.03
2024-week_17,beautiful golf courses comes beautiful wildlife,31.95
2024-week_17,jamahal hill alex pereira jon rahm,31.94
2024-week_17,crowd sri lanka max verstappen put,31.89
2024-week_17,car camera captures max verstappen act,31.56
2024-week_18,saints crush bulls carreras boots gloucester,35.00
2024-week_18,sam burgess hails matty ashton acrobatics,34.50
2024-week_18,rangnick cristiano ronaldo wrexham owners reynolds,34.33
2024-week_18,induced coma boxing conor mcgregor looking,33.75
2024-week_18,snooker retirement mark selby brit jockey,32.29
2024-week_18,touching announcement logan paul mike tyson,32.17
2024-week_18,damning liverpool footage emerges trent alexander,32.04
2024-week_18,style breakaway legendary horse shishkin dies,31.70
2024-week_18,prices stuart broad ben stokes opts,31.67
2024-week_18,seen since ronaldo jude bellingham reynolds,31.50
2024-week_19,986 potential everton buyers 777 accused,33.33
2024-week_19,661 potential everton buyers 777 accused,33.33
2024-week_19,majorca pub billy vunipola chris harris,33.12
2024-week_19,beautiful golf courses comes beautiful wildlife,32.74
2024-week_19,timer willie mullins lewis hamilton swears,32.59
2024-week_19,gb secure four olympic relay slots,32.39
2024-week_19,legendary argentina manager cesar menotti dies,32.19
2024-week_19,snooker retirement mark selby brit jockey,32.10
2024-week_19,abbi pulling wins f1 academy double,31.80
2024-week_19,prices stuart broad ben stokes opts,31.69
2024-week_20,kent vs worcestershire pace prodigy filer,34.00
2024-week_20,5m bid fc barcelona blue swoon,32.38
2024-week_20,majorca pub billy vunipola chris harris,32.23
2024-week_20,rory mcilroy aintree hero corach rambler,31.25
2024-week_20,03 sensational osaka brushes aside kasatkina,30.25
2024-week_20,controversial move martina navratilova luke littler,30.06
2024-week_20,sullivan luke littler makes announcement sure,29.94
2024-week_20,gaza crisis gary lineker slot confirmation,29.83
2024-week_20,unluckiest star endures yet another near,29.56
2024-week_20,prices stuart broad ben stokes opts,29.55
2024-week_21,decision daniel ricciardo conor mcgregor launches,33.75
2024-week_21,imola sebastian vettel tv reporter dragged,32.19
2024-week_21,prices stuart broad ben stokes opts,31.91
2024-week_21,golo kante rice reveals surprising pre,31.75
2024-week_21,controversial stoppage mma caroline wozniacki responds,31.50
2024-week_21,majorca pub billy vunipola chris harris,31.17
2024-week_21,min man utd candidate frank responds,31.16
2024-week_21,title woe granit xhaka odegaard speaks,31.05
2024-week_21,wondered whether man city would retain,30.82
2024-week_21,ultimatum jim ratcliffe arsenal icons wright,30.30
2024-week_22,controversial stoppage mma caroline wozniacki responds,35.00
2024-week_22,example alongside gunners revelation arsenal fc,33.97
2024-week_22,840 lyon elite v barca powerhouse,32.67
2024-week_22,37 yorkshire skipper masood builds lead,32.67
2024-week_22,birmingham city wayne rooney poisoned chalice,32.07
2024-week_22,villa brentford brighton burnley chelsea crystal,31.61
2024-week_22,oscar piastri confirms lando norris belief,31.50
2024-week_22,issue rory mcilroy tv reporter dragged,31.41
2024-week_22,majorca pub billy vunipola chris harris,31.17
2024-week_22,royals pitcher stratton makes smooth behind,31.05
2024-week_23,majorca pub billy vunipola chris harris,32.67
2024-week_23,beautiful golf courses comes beautiful wildlife,31.48
2024-week_23,issue rory mcilroy tv reporter dragged,31.47
2024-week_23,denis shapovalov shapovalov reveals surprise passion,31.42
2024-week_23,bayern raises questions martin brundle brundle,30.79
2024-week_23,exeter lock dunne signs new contract,30.71
2024-week_23,van dijk interview martin brundle hamilton,30.67
2024-week_23,historic major breakthrough xander schauffele admitted,30.62
2024-week_23,’ brien travers stakes darts players,30.27
2024-week_23,ratcliffe sends current boss packing transfer,30.23
